structure_inchikey	structure_smiles	structure_molecular_formula	structure_exact_mass	structure_xlogp
XJLXINKUBYWONI-NNYOXOHSSA-O	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	C21H29N7O17P3	744.08328	-11.46336
KYOBSHFOBAOFBF-XVFCMESISA-N	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	C10H13N2O11P	368.0257	-2.91118
IPCSVZSSVZVIGE-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(O)=O	C16H32O2	256.24023	6.25658
KHPXUQMNIQBQEV-UHFFFAOYSA-N	OC(=O)CC(=O)C(O)=O	C4H4O5	132.00587	-0.0419
FGSBNBBHOZHUBO-UHFFFAOYSA-N	OC(=O)CCCC(=O)C(O)=O	C6H8O5	160.03717	0.33531
PXQPEWDEAKTCGB-UHFFFAOYSA-N	OC(=O)C1=CC(=O)NC(=O)N1	C5H4N2O4	156.01711	-1.22766
JOUIQRNQJGXQDC-ZYUZMQFOSA-O	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CC=CC(=C1)C(O)=O	C11H15NO9P	336.04844	-5.43741
GJAWHXHKYYXBSV-UHFFFAOYSA-N	OC(=O)C1=CC=CN=C1C(O)=O	C7H5NO4	167.02186	-0.54316
JZRWCGZRTZMZEH-UHFFFAOYSA-N	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N	C12H17N4OS	265.11231	-3.09741
XBDQKXXYIPTUBI-UHFFFAOYSA-N	CCC(O)=O	C3H6O2	74.03678	0.47719
LXNHXLLTXMVWPM-UHFFFAOYSA-N	CC1=C(O)C(CO)=C(CO)C=N1	C8H11NO3	169.07389	-0.95132
LSNNMFCWUKXFEE-UHFFFAOYSA-L	[O-]S([O-])=O	O3S	79.95681	-1.15469
KSFOVUSSGSKXFI-UJJXFSCMSA-N	CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O	C34H34N4O4	562.25801	6.7788
LCTONWCANYUPML-UHFFFAOYSA-N	CC(=O)C(O)=O	C3H4O3	88.01604	0.06587
AUNGANRZJHBGPY-SCRDCRAPSA-N	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	C17H20N4O6	376.13828	-0.91654
QSHWIQZFGQKFMA-UHFFFAOYSA-N	NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1	C10H14N2O4	226.09536	-2.68
