structure_name	structure_inchikey	structure_smiles	structure_inchikey_2D	structure_smiles_2D	structure_molecular_formula	structure_exact_mass	structure_xlogp	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	structure_taxonomy_classyfire_chemontid	structure_taxonomy_classyfire_01kingdom	structure_taxonomy_classyfire_02superclass	structure_taxonomy_classyfire_03class	structure_taxonomy_classyfire_04directparent	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	reference_doi
Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=C2NC=NC2=NC=N1	GFFGJBXGBJISGV		C5H5N5											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Taurocholic acid	WBWWGRHZICKQGZ-HZAMXZRMSA-N	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	WBWWGRHZICKQGZ		C26H45NO7S											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Aldosterone	PQSUYGKTWSAVDQ-ZVIOFETBSA-N	[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O	PQSUYGKTWSAVDQ		C21H28O5											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Dihydrobiopterin	FEMXZDUTFRTWPE-DZSWIPIPSA-N	C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O	FEMXZDUTFRTWPE		C9H13N5O3											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Butyric acid	FERIUCNNQQJTOY-UHFFFAOYSA-N	CCCC(O)=O	FERIUCNNQQJTOY		C4H8O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Acetic acid	QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(O)=O	QTBSBXVTEAMEQO		C2H4O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Betaine	KWIUHFFTVRNATP-UHFFFAOYSA-O	C[N+](C)(C)CC(O)=O	KWIUHFFTVRNATP		C5H12NO2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	CIWBSHSKHKDKBQ		C6H8O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Adenosine monophosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	UDMBCSSLTHHNCD		C10H14N5O7P											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Melibiose	DLRVVLDZNNYCBX-CQHUIXDMSA-N	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	DLRVVLDZNNYCBX		C12H22O11											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Adenosine	OIRDTQYFTABQOQ-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	OIRDTQYFTABQOQ		C10H13N5O4											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Ammonia	QGZKDVFQNNGYKY-UHFFFAOYSA-N	N	QGZKDVFQNNGYKY		H3N											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Argininosuccinic acid	KDZOASGQNOPSCU-WDSKDSINSA-N	N[C@@H](CCCNC(=N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O	KDZOASGQNOPSCU		C10H18N4O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Androstenedione	AEMFNILZOJDQLW-QAGGRKNESA-N	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	AEMFNILZOJDQLW		C19H26O2											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
Bilirubin	BPYKTIZUTYGOLE-IFADSCNNSA-N	CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1	BPYKTIZUTYGOLE		C33H36N4O6											Homo sapiens	770315	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae		Homo	Homo sapiens		
