organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas
Amaranthus caudatus	317802	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus caudatus	notClassified
Amaranthus tricolor	653438	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus tricolor	notClassified
Amaranthus retroflexus	892638	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus retroflexus	notClassified
Amaranthus hypochondriacus	22343	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus hypochondriacus	notClassified
Amaranthus leucocarpus	6033638	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus leucocarpus	notClassified
Amaranthus cruentus	317802	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus caudatus	notClassified
Amaranthus hybridus	317810	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus hybridus	notClassified
Celosia argentea	441686	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Celosia	Celosia argentea	notClassified
Amaranthus blitum	578560	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus blitum	notClassified
Amaranthus graecizans	5143757	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus graecizans	notClassified
Amaranthus lividus	578560	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	notClassified	Amaranthus	Amaranthus blitum	notClassified
Heteroxenia ghardaqensis	452759	Eukaryota	Metazoa	Cnidaria	Anthozoa	Alcyonacea	Xeniidae	notClassified	Heteroxenia	Heteroxenia ghardaqensis	notClassified
Callophyllis flabellata	4098	Eukaryota	Archaeplastida	Rhodophyta	Florideophycidae	notClassified	notClassified	notClassified	Callophyllis	Callophyllis laciniata	notClassified
Callophyllis laciniata	4098	Eukaryota	Archaeplastida	Rhodophyta	Florideophycidae	notClassified	notClassified	notClassified	Callophyllis	Callophyllis laciniata	notClassified
Nitella translucens	245312	Eukaryota	Archaeplastida	Streptophyta	Charophyceae	Charales	Characeae	notClassified	Nitella	Nitella translucens	notClassified
Lamprothamnium papulosum	1051744	Eukaryota	Archaeplastida	Streptophyta	Charophyceae	Charales	Characeae	notClassified	Lamprothamnium	Lamprothamnium papulosum	notClassified
Nitellopsis obtusa	1059011	Eukaryota	Archaeplastida	Streptophyta	Charophyceae	Charales	Characeae	notClassified	Nitellopsis	Nitellopsis obtusa	notClassified
Chara australis	858075	Eukaryota	Archaeplastida	Streptophyta	Charophyceae	Charales	Characeae	notClassified	Chara	Chara australis	notClassified
Chara corallina	765117	Eukaryota	Archaeplastida	Streptophyta	Charophyceae	Charales	Characeae	notClassified	Chara	Chara corallina	notClassified
Chlamydomonas reinhardtii	33153	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	notClassified	Chlamydomonas	Chlamydomonas reinhardtii	notClassified
