row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,191105_AR_Panax_Pos.mzML Peak area,191105_AR_Ginkgo_Pos.mzML Peak area,191105_AR_Arnica_Pos.mzML Peak area,191105_AR_Cinchona_Pos.mzML Peak area,191105_AR_Salvia_Pos.mzML Peak area,
13183,353.06259078453536,5.051381,,,,601,710,[M+Na]+,,2,12900;13183,330.07329,0,0,0,0,54563.22,
15818,353.0635502881046,6.1573,,,,422,873,[M+Na]+,,2,15644;15818,330.07416,0,0,0,0,12831.331,
9095,353.0825113879809,3.6485438,,,,713,,,,,,,3665.849,0,1203.9874,0,0,
1365,353.1203040186551,0.6904838,,,,798,46,[M+Na]+,,2,1365;1374,330.13128,0,7658.4375,0,0,0,
13382,353.1350581910649,5.139268,,,,931,734,[M+Na]+,,8,13416;13397;13421;13380;13382;13396;13377;13383,330.14588,0,0,0,0,1693408.5,
16730,353.1359815584957,6.4661427,,,,576,917,[M+Na]+,,2,16730;16463,330.14661,0,0,94322.3,0,5625.2573,
12147,353.1407130072701,4.7683067,,,,912,,,,,,,0,0,1554.5245,0,11496.412,
5297,353.1567895162284,2.2590725,,,,532,277,[M+Na]+,,3,5317;5326;5297,330.16826,0,914.3351,2053.6604,0,240442.64,
4357,353.15719611815734,1.8744434,,,,486,213,[M+Na]+,,2,4356;4357,330.16811,0,914.3351,4454.7905,0,90406.32,
8836,353.18573343969865,3.465129,,,,519,,,,,,,0,0,0,364332.12,0,
13697,353.18590526067203,5.305053,,,,934,,,,,,,0,0,0,115345.04,0,
18440,353.1860836560961,7.024933,,,,198,,,,,,,0,0,0,11181.384,0,
12352,353.19531844049675,4.7309127,,,,21,669,[M+H]+,,1,12353,352.18786,0,0,16148.422,0,0,
7077,353.1954921017267,2.8807526,,,,836,369,[M+H-H2O]+,,3,7113;7012;7077,370.19882,0,0,201.13837,0,4168.843,
16283,353.19632525422924,6.318068,,,,576,894,[M+H]+,,3,16078;16283;16077,352.18854,0,0,0,0,32657.129,
18285,353.22978091861677,6.9684453,,,,576,,,,,,,3938.3325,0,7977.0176,23941.229,1998.445,
15223,353.2300097755992,5.9116726,,,,823,850,[M+Na]+,,3,15223;15212;15209,330.24075,141196.5,11976.891,248556.05,34234.62,41935.23,
16681,353.23028647750544,6.4667945,,,,599,,,,,,,5108.5635,203.56403,19453.912,5154.408,5301.655,
13660,353.2305829170309,5.2826815,,,,601,749,[M+Na]+,,4,13667;13660;13644;13666,330.2414,0,0,40936.023,0,37085.812,
