feature_id	candidate_adduct	candidate_library	candidate_structure_error_mz	candidate_structure_name	candidate_structure_inchikey_no_stereo	candidate_structure_smiles_no_stereo	candidate_structure_molecular_formula	candidate_structure_exact_mass	candidate_structure_xlogp	candidate_spectrum_entropy	candidate_score_similarity	candidate_count_similarity_peaks_matched
12	[M+H]+	ISDB	0.000137459999905332		FFTTYUCYIGCIQN	O=C1OC2(O)OC(Oc3ccc(OC4OC(CO)C(O)C(O)C4O)cc32)c2ccccc21	C21H20O11	448.10056146		3.83482133157336	0.34393647313118	11
12	[M+H]+	ISDB	0.000137459999905332		OMLROHMANJRCLP	O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c12	C21H20O11	448.10056146		3.51864100804704	0.341272920370102	8
12	[M+H]+	ISDB	0.000137459999905332		ZSDLSQASILNAAH	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c12	C21H20O11	448.10056146		3.97471140086352	0.339206516742706	13
8	[M+H]+	ISDB	-8.58320000816093e-05		LZMRDTLRSDRUSU	COc1ccc2c(c1)OCC1(O)c3cc4c(cc3OC21)OCO4	C17H14O6	314.079038168		2.78439482239775	0.338460355997086	4
12	[M+H]+	ISDB	0.000137459999905332		GOOORDFPBKMNLH	O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12	C21H20O11	448.10056146		3.30478290715051	0.337137371301651	11
5	[M+H]+	ISDB	6.41039999891291e-05		QWFMXOMZDHXFLG	Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc12	C16H12O6	300.063388104		3.37739518125789	0.33517137169838	3
5	[M+H]+	ISDB	6.41039999891291e-05		OEZZJTAJYYSQKM	COc1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12	C16H12O6	300.063388104		3.28997639231594	0.334551811218262	3
12	[M+H]+	ISDB	0.000137459999905332		CNNDVKKULXAEFG	Cc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(C(=O)O)cc(O)cc3oc2c1	C21H20O11	448.10056146		3.61607614716906	0.332471489906311	11
12	[M+H]+	ISDB	0.000137459999905332		KJRQFWPGAMGIIB	O=C1Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c2C1=C(O)c1ccc(O)cc1	C21H20O11	448.10056146		3.71762670971045	0.331570595502853	11
12	[M+H]+	ISDB	0.000137459999905332		RYQBZVIMEYASQP	Cc1cc2c(c(O)c1OC1OC(CO)C(O)C(O)C1O)C(=O)c1c(O)cc(O)cc1C2=O	C21H20O11	448.10056146		3.81591760558455	0.327720999717712	11
17	[M+H]+	ISDB	0.000277884000013273		MSFSPUZXLOGKHJ	CC(OC1C(N)C(O)OC(CO)C1O)C(=O)O	C9H17NO7	251.100501884		4.06575680986101	0.327571898698807	21
12	[M+H]+	ISDB	0.000137459999905332		AMJCTDBATIKENQ	O=C1C(=Cc2ccc(O)c(O)c2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21	C21H20O11	448.10056146		3.64241153589211	0.324428826570511	15
12	[M+H]+	ISDB	0.000137459999905332		KVPJGPIXMGFGFH	O=c1c(O)c(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc12	C21H20O11	448.10056146		3.57852028245695	0.32310950756073	11
8	[M+H]+	ISDB	-8.58320000816093e-05		NZKVZAOTASFTDL	O=C1CC2c3cc(O)c(O)cc3C(c3ccc(O)c(O)c3)C2O1	C17H14O6	314.079038168		3.03301325641698	0.322826594114304	5
5	[M+H]+	ISDB	6.41039999891291e-05		RDSNBXLYTVVLLM	COc1c(CO)c(O)cc2c1C(=O)c1ccc(O)cc1C2=O	C16H12O6	300.063388104		3.03001109531337	0.322058945894241	2
8	[M+H]+	ISDB	-8.58320000816093e-05		VBJWFQILKBYOKL	COc1c(O)cc2c(c1O)C(=O)C1c3ccccc3OCC1O2	C17H14O6	314.079038168		3.2546158219942	0.320789694786072	7
12	[M+H]+	ISDB	0.000137459999905332		FFMGYFQMNXFBAW	O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)cc(OC3OC(CO)C(O)C(O)C3O)c12	C21H20O11	448.10056146		3.94960879072356	0.320043623447418	12
12	[M+H]+	ISDB	0.000137459999905332		JMFSHKGXVSAJFY	O=c1cc(-c2ccc(O)cc2)oc2c(OC3OC(C(O)CO)C(O)C3O)c(O)cc(O)c12	C21H20O11	448.10056146		3.74355240309617	0.318924307823181	11
12	[M+H]+	ISDB	0.000137459999905332		OMLSJIVZUANZTM	O=c1cc(-c2cccc(O)c2)oc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c12	C21H20O11	448.10056146		3.59617328047251	0.318753987550735	7
8	[M+H]+	ISDB	-8.58320000247659e-05		UUQJTIHOVGMQIH	COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1	C17H14O6	314.079038168		3.53087575685923	0.318091809749603	8
12	[M+H]+	ISDB	0.000137459999905332		VBXIDZSPMVPECR	O=c1cc(-c2ccc(OC3OC(O)C(O)C(O)C3CO)cc2)oc2c(O)c(O)c(O)cc12	C21H20O11	448.10056146		4.06597287922807	0.318073958158493	11
8	[M+H]+	ISDB	-8.58320000816093e-05		GFJHYDNKEYOVJH	COc1ccc2c(c1)OC(c1ccc3c(c1)OCO3)C(O)C2=O	C17H14O6	314.079038168		3.02474186720384	0.31714916229248	6
5	[M+H]+	ISDB	6.41039999891291e-05		ZWWRUVANJRMPKX	COc1cc(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c12	C16H12O6	300.063388104		3.26072696463059	0.31710809469223	3
8	[M+H]+	ISDB	-8.58320000816093e-05		ALFXRKPBCOIWEG	COc1cc(OC)c2c(c1)C(=O)c1c(O)cc(C)c(O)c1C2=O	C17H14O6	314.079038168		3.04468909122136	0.316589504480362	4
8	[M+H]+	ISDB	-8.58320000816093e-05		BDFXMYWHFMODCU	COc1ccccc1-c1cc(=O)c2c(O)cc(OC)c(O)c2o1	C17H14O6	314.079038168		3.26713873080537	0.31562215089798	7
12	[M+H]+	ISDB	0.000137459999905332		OSDSISOFOWQDCA	O=c1cc(-c2cc(O)cc(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc12	C21H20O11	448.10056146		3.53115148401488	0.31530824303627	10
8	[M+H]+	ISDB	-8.58320000247659e-05		WDBFAIPOYWBXPB	COc1cc(OC)c2c(=O)c3c(O)cc(C)cc3oc(=O)c2c1	C17H14O6	314.079038168		2.94437645701523	0.314778029918671	5
5	[M+H]+	ISDB	6.41039999891291e-05		GCNNYMGPFTUNLI	COc1c(C)c(O)cc2c1C(=O)c1ccc(O)c(O)c1C2=O	C16H12O6	300.063388104		3.07817961596854	0.313831061124802	2
5	[M+H]+	ISDB	6.41039999891291e-05		YISWOQCXXZGGRA	COc1ccc(-c2c(O)oc3cc(O)cc(O)c3c2=O)cc1	C16H12O6	300.063388104		2.70071682128936	0.313392221927643	1
5	[M+H]+	ISDB	6.41039999322857e-05		XFAMBGFUJZVEQW	COc1c(-c2coc3cc(O)ccc3c2=O)ccc(O)c1O	C16H12O6	300.063388104		3.32612367320038	0.312279850244522	2
8	[M+H]+	ISDB	-8.58320000247659e-05		OVFDXRVXQRNNCT	COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(O)c3o2)cc1	C17H14O6	314.079038168		3.44423880136039	0.311593890190125	8
8	[M+H]+	ISDB	-8.58320000816093e-05		XEWRTZLESCLJSY	COc1cc(O)c2c(c1OC)C(=O)c1cc(C)cc(O)c1C2=O	C17H14O6	314.079038168		3.1279082315343	0.310240417718887	5
12	[M+H]+	ISDB	0.000137459999905332		NBPDUGVDRCAERP	Cc1cc(O)c2c(c1)C(=O)c1c(O)c(O)cc(OC3OC(CO)C(O)C(O)C3O)c1C2=O	C21H20O11	448.10056146		3.67212615917915	0.310089260339737	10
8	[M+H]+	ISDB	-8.58320000816093e-05		ZMNZBIACDAJCIU	COc1ccc2c(c1O)OCC1c3cc4c(cc3OC21)OCO4	C17H14O6	314.079038168		3.0528092622517	0.309378892183304	5
5	[M+H]+	ISDB	6.41039999891291e-05		FTOHMMMSWYNATM	COc1cc(O)cc2oc(=O)c(-c3ccc(O)cc3O)cc12	C16H12O6	300.063388104		3.15974595180309	0.308662176132202	2
8	[M+H]+	ISDB	-8.58320000816093e-05		VGTPTOFVVKAMNS	COc1cc2c3c(c1)OCC(c1ccc(O)cc1O)=C3OCO2	C17H14O6	314.079038168		3.17204454432387	0.308099269866943	4
12	[M+H]+	ISDB	0.000137459999905332		QOBIRJABWHKJBS	O=c1c(-c2ccc(O)c(O)c2)coc2c(OC3OC(CO)C(O)C(O)C3O)c(O)ccc12	C21H20O11	448.10056146		4.02996589197646	0.307144492864609	12
5	[M+H]+	ISDB	6.41039999891291e-05		KOYNRSOHGXLRDW	COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1O	C16H12O6	300.063388104		3.52723774056934	0.306644201278687	3
