feature_id	sample_organism_01_domain	sample_organism_02_kingdom	sample_organism_03_phylum	sample_organism_04_class	sample_organism_05_order	sample_organism_06_family	sample_organism_07_tribe	sample_organism_08_genus	sample_organism_09_species	sample_organism_10_varietas
1013	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentheae	Salvia	Salvia officinalis	notClassified
1014	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentheae	Salvia	Salvia officinalis	notClassified
1015	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1016	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1017	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1018	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1019	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
102	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1020	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1021	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1022	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1023	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1024	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1025	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1026	Eukaryota	Archaeplastida	Streptophyta	notClassified	Ginkgoales	Ginkgoaceae	notClassified	Ginkgo	Ginkgo biloba	notClassified
1027	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1028	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Madieae	Arnica	Arnica montana	notClassified
1029	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentheae	Salvia	Salvia officinalis	notClassified
